ID,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU21,AU23,AU24,AU26,AU28,AU43
KX7C4W661,0.66760063,0.54922014,0.16596468,0.2933257,0.10744671,0.0,0.152593,0.10073476,0.4107143,0.09408283,0.37234476,0.19852336,0.44960403,0.05357143,0.60982025,0.50645036,0.31921428,0.41872925,0.3435561,0.20056774
L5S8QLPL4,0.4177203,0.42534697,0.4007513,0.4539761,0.09173806,0.14634146,0.10202999,0.0446941,0.70731705,0.05785824,0.1923578,0.17726421,0.4083543,0.12195122,0.65939856,0.5729188,0.027948163,0.0630062,0.44178373,0.057219937
LLOS9OU8M,0.3779942,0.28093615,0.15529414,0.32152405,0.08179353,0.0,0.109877996,0.008796161,0.98214287,0.039327946,0.27309585,0.043187622,0.3529415,0.0,0.26666346,0.2924326,0.032792903,0.07573556,0.28193027,0.11034372
N6GUZMNUE,0.5368055,0.51607263,0.1695809,0.32443118,0.059712656,0.0,0.11455514,0.022421971,0.875,0.04215421,0.25762996,0.10164845,0.38340086,0.0,0.3937093,0.48493528,0.36101308,0.31873685,0.227011,0.17826736
NSB1TSZAN,0.30373803,0.19115888,0.098071225,0.3354432,0.08131793,0.0,0.17059352,0.0038881728,0.20689656,0.03650827,0.31480113,0.17370413,0.4342072,0.10344828,0.3937628,0.40863693,0.019806417,0.055987585,0.4118943,0.1555529
O0E6TKRZR,0.28738374,0.23938651,0.5189175,0.3834667,0.090419546,0.025,0.1242743,0.149548,0.8,0.056687035,0.34363714,0.106104314,0.3645757,0.7,0.6247841,0.5046846,0.041350942,0.16225457,0.19805068,0.09393138
PBT3NW3HS,0.30509177,0.16736022,0.20499101,0.3322075,0.11978484,0.04,0.13008164,0.043355174,0.28,0.057204448,0.20453644,0.38068578,0.38526648,0.06,0.48325485,0.30303466,0.32388386,0.085364096,0.0674453,0.12279122
PRAWCR658,0.6396139,0.27643448,0.07861688,0.33492196,0.052482367,0.13114753,0.086564496,0.005525776,0.4262295,0.036000546,0.31253415,0.18412945,0.38013938,0.0,0.31842425,0.33289024,0.70247865,0.41809067,0.31571794,0.094009064
PWQV4WPND,0.1391889,0.091129035,0.35605142,0.2681291,0.3338097,0.28,0.43135673,0.36305916,0.32,0.426744,0.7746155,0.112897485,0.3986278,0.88,0.49893424,0.5957682,0.16451502,0.24012148,0.20265448,0.17133623
Q2ARCRURT,0.39828715,0.25960895,0.343654,0.55620074,0.10758225,0.037037037,0.122828156,0.036940034,0.2037037,0.061017837,0.2007459,0.111510456,0.34413618,0.46296296,0.50542766,0.3722319,0.07378294,0.033544082,0.6060565,0.04746246
RGS05LAM3,0.28368387,0.09314736,0.64213943,0.35650817,0.086337745,0.014705882,0.11621934,0.06338067,0.5735294,0.049302857,0.45406762,0.21978958,0.37438482,0.14705883,0.53561115,0.71030384,0.03539492,0.19762109,0.62379915,0.042854544
T8AUXC7XK,0.19449298,0.10774475,0.31297392,0.3192219,0.06948099,0.05263158,0.08722881,0.0342053,0.94736844,0.024871266,0.2462196,0.09563166,0.4133487,0.0,0.56308144,0.5148089,0.07017363,0.10136558,0.2869098,0.07697985
