Pregunta(X),AU(Y),a,b,t,p
q9,AU04,0.5172,-0.0418,-1.0819,0.286704
q9,AU05,0.4395,-0.0193,-1.4673,0.151216
q9,AU06,0.327,-0.0451,-3.8085,0.000541
q9,AU07,0.1834,-0.0255,-1.4426,0.158019
q9,AU09,0.2496,-0.0212,-1.5182,0.137944
q9,AU10,0.077,0.0055,0.2433,0.809169
q9,AU11,0.4255,0.0287,0.6038,0.549894
q9,AU12,0.2509,-0.0357,-2.1842,0.035735
q9,AU14,0.562,-0.0429,-1.6148,0.115339
q9,AU15,0.2456,-0.0083,-0.4194,0.677515
q9,AU17,0.5072,-0.0233,-1.6333,0.111381
q9,AU20,0.672,-0.0965,-1.6385,0.110271
q9,AU23,0.4607,0.0091,0.442,0.661181
q9,AU24,0.5028,0.009,0.3377,0.737633
q9,AU25,0.1007,0.0019,0.0673,0.946761
q9,AU26,0.1274,0.012,0.5441,0.589825
q9,AU28,0.4028,-0.0177,-0.528,0.600805
q9,AU43,0.0715,0.0086,0.7146,0.479573
q10,AU01,0.3322,0.0083,0.2669,0.79108
q10,AU02,0.3291,-0.0128,-0.4572,0.650325
q10,AU04,0.3667,-0.0085,-0.1967,0.845227
q10,AU05,0.4875,-0.0294,-2.0795,0.044959
q10,AU06,0.1613,-0.0084,-0.5455,0.588882
q10,AU07,0.0512,0.0036,0.1784,0.859456
q10,AU09,0.1499,0.0007,0.0436,0.965438
q10,AU10,0.0616,0.0087,0.3509,0.7278
q10,AU11,0.4048,0.0327,0.6233,0.537124
q10,AU12,0.1022,-0.0029,-0.1494,0.882074
q10,AU14,0.3986,-0.0067,-0.2223,0.825353
q10,AU15,0.1577,0.0109,0.5031,0.618051
q10,AU17,0.4844,-0.018,-1.1196,0.270491
q10,AU20,0.484,-0.0541,-0.8101,0.423377
q10,AU23,0.4675,0.0075,0.3282,0.744744
q10,AU24,0.6607,-0.0253,-0.8688,0.390882
q10,AU25,0.1605,-0.0111,-0.3621,0.719488
q10,AU26,0.0843,0.0211,0.8758,0.387087
q10,AU28,0.3051,0.0038,0.1018,0.91947
q10,AU43,0.0211,0.0193,1.4953,0.143808
q11,AU01,0.2996,0.0177,0.8203,0.417571
q11,AU02,0.3184,-0.0121,-0.618,0.540569
q11,AU04,0.4039,-0.0191,-0.6324,0.531241
q11,AU05,0.4673,-0.0289,-3.1039,0.003768
q11,AU06,0.2082,-0.0214,-2.0863,0.044305
q11,AU07,0.1461,-0.0196,-1.4323,0.160931
q11,AU09,0.178,-0.0062,-0.5579,0.580434
q11,AU10,0.124,-0.0055,-0.3172,0.752999
q11,AU11,0.3404,0.0538,1.5013,0.142238
q11,AU12,0.1683,-0.0198,-1.5193,0.137661
q11,AU14,0.3866,-0.0048,-0.225,0.823287
q11,AU15,0.1972,0.0027,0.1786,0.859317
q11,AU17,0.4561,-0.0137,-1.2184,0.231208
q11,AU20,0.6029,-0.0922,-2.0643,0.046463
q11,AU23,0.5502,-0.0121,-0.7604,0.452126
q11,AU24,0.4815,0.0155,0.7576,0.453767
q11,AU25,0.1841,-0.0187,-0.8781,0.385901
q11,AU26,0.1289,0.0132,0.7791,0.441147
q11,AU28,0.4001,-0.0194,-0.7511,0.457602
q11,AU43,0.0672,0.0108,1.1766,0.247288
q12,AU01,0.3686,0.0005,0.0182,0.985554
q12,AU02,0.317,-0.0113,-0.4969,0.622388
q12,AU04,0.3696,-0.0101,-0.2883,0.774822
q12,AU05,0.4655,-0.0272,-2.4245,0.020629
q12,AU06,0.2129,-0.0216,-1.7988,0.080685
q12,AU07,0.1391,-0.017,-1.0679,0.292867
q12,AU09,0.1889,-0.0085,-0.6678,0.508664
q12,AU10,0.1054,-0.0008,-0.0421,0.966695
q12,AU11,0.3278,0.0544,1.3078,0.199473
q12,AU12,0.1645,-0.018,-1.1842,0.244328
q12,AU14,0.4736,-0.0253,-1.0492,0.301293
q12,AU15,0.1533,0.0131,0.75,0.458259
q12,AU17,0.4065,-0.0012,-0.0926,0.926762
q12,AU20,0.8192,-0.1397,-2.845,0.007373
q12,AU23,0.5997,-0.0233,-1.2988,0.202513
q12,AU24,0.5648,-0.005,-0.212,0.833354
q12,AU25,0.1229,-0.0033,-0.1315,0.896107
q12,AU26,0.1567,0.006,0.3042,0.762813
q12,AU28,0.4967,-0.0416,-1.4271,0.162399
q12,AU43,0.0553,0.0132,1.2478,0.220399
q13,AU01,0.2707,0.024,0.8217,0.416821
q13,AU02,0.1092,0.0386,1.4918,0.144721
q13,AU04,0.2753,0.0125,0.3042,0.762746
q13,AU05,0.431,-0.0191,-1.378,0.176961
q13,AU06,0.1844,-0.0149,-1.0274,0.311278
q13,AU07,0.0625,0.0013,0.0659,0.947833
q13,AU09,0.2085,-0.0133,-0.891,0.379024
q13,AU10,0.0071,0.0228,0.9777,0.334955
q13,AU11,0.5905,-0.0084,-0.1672,0.868153
q13,AU12,0.1634,-0.0179,-0.9961,0.326021
q13,AU14,0.4254,-0.0139,-0.486,0.630031
q13,AU15,0.1277,0.0193,0.9473,0.349975
q13,AU17,0.3792,0.0053,0.3452,0.731979
q13,AU20,0.4568,-0.0535,-0.8461,0.40323
q13,AU23,0.4257,0.0183,0.8582,0.396604
q13,AU24,0.5379,0.0014,0.0494,0.960879
q13,AU25,0.1518,-0.0102,-0.3521,0.726881
q13,AU26,0.1392,0.0102,0.4442,0.659608
q13,AU28,0.6202,-0.0715,-2.1666,0.037161
q13,AU43,0.046,0.0155,1.2516,0.219004
q14,AU01,0.3926,-0.0053,-0.2158,0.830428
q14,AU02,0.2178,0.0125,0.5634,0.57674
q14,AU04,0.4074,-0.0192,-0.5631,0.576936
q14,AU05,0.476,-0.0299,-2.7821,0.008643
q14,AU06,0.1676,-0.0109,-0.8941,0.377401
q14,AU07,0.0314,0.0087,0.5518,0.584588
q14,AU09,0.1191,0.0082,0.652,0.518685
q14,AU10,-0.0067,0.0261,1.358,0.18316
q14,AU11,0.3449,0.0507,1.2406,0.222997
q14,AU12,0.1198,-0.0074,-0.4894,0.627588
q14,AU14,0.3341,0.008,0.3336,0.740646
q14,AU15,0.1513,0.0136,0.7988,0.4298
q14,AU17,0.4303,-0.007,-0.5401,0.59254
q14,AU20,0.5961,-0.087,-1.6964,0.098689
q14,AU23,0.5092,-0.0017,-0.0961,0.924014
q14,AU24,0.5273,0.0039,0.1691,0.866713
q14,AU25,0.134,-0.006,-0.2451,0.807779
q14,AU26,0.0713,0.0265,1.4162,0.165566
q14,AU28,0.514,-0.046,-1.6251,0.113118
q14,AU43,0.0387,0.0172,1.6973,0.098519
q15,AU01,0.4038,-0.0083,-0.3932,0.696529
q15,AU02,0.308,-0.0095,-0.4986,0.62121
q15,AU04,0.5388,-0.0525,-1.8731,0.069424
q15,AU05,0.3531,-0.0004,-0.036,0.971461
q15,AU06,0.1411,-0.0047,-0.4429,0.660577
q15,AU07,0.1419,-0.0184,-1.3913,0.172901
q15,AU09,0.1571,-0.001,-0.0924,0.926882
q15,AU10,0.0852,0.0042,0.2462,0.806953
q15,AU11,0.6871,-0.0326,-0.9236,0.362043
q15,AU12,0.0748,0.0035,0.2698,0.788937
q15,AU14,0.3452,0.0055,0.2682,0.790133
q15,AU15,0.1358,0.018,1.2418,0.222554
q15,AU17,0.3967,0.0012,0.1049,0.917045
q15,AU20,0.3642,-0.0323,-0.7123,0.481024
q15,AU23,0.5658,-0.0158,-1.0418,0.30463
q15,AU24,0.5327,0.0027,0.1359,0.892645
q15,AU25,0.1309,-0.0054,-0.2582,0.797728
q15,AU26,0.1584,0.0058,0.3509,0.727747
q15,AU28,0.2468,0.0188,0.7531,0.456425
q15,AU43,0.0536,0.0141,1.6171,0.11484
q16,AU01,0.3748,-0.0011,-0.062,0.950953
q16,AU02,0.3187,-0.0123,-0.7817,0.439644
q16,AU04,0.4804,-0.0385,-1.6338,0.111272
q16,AU05,0.4137,-0.0156,-1.9448,0.059864
q16,AU06,0.1548,-0.0082,-0.9443,0.351492
q16,AU07,0.1111,-0.0109,-0.9791,0.334261
q16,AU09,0.1638,-0.0027,-0.3,0.765944
q16,AU10,0.0885,0.0034,0.2408,0.811108
q16,AU11,0.5071,0.0122,0.4124,0.682595
q16,AU12,0.1059,-0.0043,-0.3941,0.695878
q16,AU14,0.3574,0.0025,0.147,0.883998
q16,AU15,0.1285,0.02,1.6956,0.098837
q16,AU17,0.4107,-0.0024,-0.2564,0.799137
q16,AU20,0.5449,-0.0783,-2.1942,0.034953
q16,AU23,0.4933,0.0022,0.1689,0.866843
q16,AU24,0.5141,0.0074,0.4487,0.656441
q16,AU25,0.1067,0.0006,0.0365,0.971126
q16,AU26,0.1291,0.0133,0.9778,0.33489
q16,AU28,0.3046,0.0045,0.2158,0.830416
q16,AU43,0.0706,0.01,1.3659,0.180672
q17,AU01,0.4212,-0.0133,-0.6947,0.491838
q17,AU02,0.3783,-0.0285,-1.6957,0.098819
q17,AU04,0.3885,-0.016,-0.5989,0.553073
q17,AU05,0.4251,-0.0193,-2.2118,0.033602
q17,AU06,0.1268,-0.0012,-0.1196,0.905512
q17,AU07,0.1399,-0.0189,-1.574,0.124475
q17,AU09,0.182,-0.0076,-0.7727,0.444895
q17,AU10,0.0583,0.0114,0.7456,0.460863
q17,AU11,0.4237,0.0347,1.0765,0.289088
q17,AU12,0.0774,0.003,0.2544,0.80064
q17,AU14,0.3444,0.006,0.3204,0.750585
q17,AU15,0.1413,0.0175,1.3297,0.192215
